Date,Open,High,Low,Close,Volume
2025-12-05,23942.73,24130.92,23929.26,24028.14,46889444
2025-12-08,24015.97,24116.99,23985.28,24046.01,46456677
2025-12-09,24094.99,24186.92,24092.5,24162.65,49105762
2025-12-10,24131.39,24168.72,24001.43,24130.14,47603079
2025-12-11,24055.17,24364.01,24007.98,24294.61,52093028
2025-12-12,24368.94,24474.62,24173.28,24186.49,45470258
2025-12-15,24297.64,24318.3,24170.45,24229.91,47055570
2025-12-16,24124.11,24191.6,24011.8,24076.87,53280599
2025-12-17,24159.62,24185.47,23949.17,23960.59,52418227
2025-12-18,23947.03,24215.98,23923.97,24199.5,51638948
2025-12-19,24196.19,24305.82,24153.23,24288.4,131439765
2025-12-22,24291.85,24356.11,24203.37,24283.97,32252786
2025-12-23,24297.62,24362.01,24257.47,24340.06,28299427
2025-12-29,24370.94,24389.15,24253.73,24351.12,35372295
2025-12-30,24343.19,24527.94,24328.42,24490.41,23179269
2026-01-02,24499.51,24676.79,24448.98,24539.34,48788715
2026-01-05,24681.35,24872.92,24639.68,24868.69,53518198
2026-01-06,24904.68,24969.17,24836.33,24892.2,57420812
2026-01-07,24995.0,25122.46,24982.62,25122.26,57896958
2026-01-08,25128.46,25217.52,25024.65,25127.46,58048314
2026-01-09,25124.02,25281.18,25107.92,25261.64,55247902
2026-01-12,25248.37,25421.42,25236.88,25405.34,47091442
2026-01-13,25408.37,25507.79,25338.3,25420.66,51680903
2026-01-14,25429.75,25461.36,25268.27,25286.24,64458307
2026-01-15,25275.83,25378.55,25233.32,25352.39,58342366
2026-01-16,25336.01,25354.11,25198.53,25297.13,62873295
2026-01-19,24940.47,25070.61,24911.59,24959.06,59781585
2026-01-20,24747.35,24758.32,24507.11,24703.12,61404881
2026-01-21,24636.55,24656.73,24349.54,24560.98,60845295
2026-01-22,24877.63,24937.08,24772.54,24856.47,68349542
2026-01-23,24819.94,24930.15,24796.93,24900.71,51854362
2026-01-26,24890.3,24985.15,24790.74,24933.08,46863207
2026-01-27,25008.03,25020.22,24848.53,24894.44,54957075
2026-01-28,24878.23,24926.03,24707.19,24822.79,64693765
2026-01-29,24697.38,24758.73,24266.33,24309.46,72617906
2026-01-30,24376.15,24585.45,24366.39,24538.81,65569547
2026-02-02,24392.09,24851.7,24384.21,24797.52,57388955
2026-02-03,24956.76,25098.71,24703.62,24780.79,69071028
2026-02-04,24845.59,24877.91,24602.88,24603.04,89361167
2026-02-05,24607.47,24663.81,24272.62,24491.06,77762481
2026-02-06,24452.15,24737.97,24393.11,24721.46,57339079
2026-02-09,24860.67,25016.01,24714.89,25014.87,50684071
2026-02-10,24960.59,25075.75,24935.34,24987.85,61273827
2026-02-11,24956.46,25001.52,24834.79,24856.15,61250232
